"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C6","3","100u","","","","User:C_Radial_Polarized_P3.8mm_CNC",""
"C3,C4","2","1u","","","","User:C_Axial_P5.00mm_CNC","~"
"C5","1","10u","","","","User:C_Axial_P5.00mm_CNC","~"
"C7","1","33n","","","","User:C_Axial_P5.00mm_CNC","~"
"C8","1","47n","","","","User:C_Axial_P5.00mm_CNC","~"
"C9","1","220u","","","","User:C_Radial_Polarized_P3.8mm_CNC",""
"C10","1","100n","","","","User:C_Axial_P5.00mm_CNC","~"
"D1,D2","2","1N4148","","","","User:D_P7.62mm_CNC","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"J1","1","Screw_Terminal_01x04","","","","User:TerminalBlock_1x4_CNC","~"
"J2","1","AudioJack3_SwitchTR","","","","Connector_Audio:Jack_3.5mm_CUI_SJ1-3525N_Horizontal","~"
"J3","1","Screw_Terminal_01x02","","","","User:TerminalBlock_1x2_CNC","~"
"R1","1","1M","","","","User:R_10.16mm_CNC","~"
"R2","1","100","","","","User:R_10.16mm_CNC","~"
"R3","1","10k","","","","User:R_7.62mm_CNC","~"
"R4","1","10","","","","User:R_10.16mm_CNC","~"
"RV1","1","100k","","","","User:Potentiometer_PanelMount_CNC","~"
"RV2","1","100k","","","","User:Potentiometer_Trim_CNC","~"
"U1","1","TL072","","","","User:DIP-8_CNC","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"U2","1","LM386","","","","User:DIP-8_CNC","http://www.ti.com/lit/ds/symlink/lm386.pdf"
