"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","100u","","","","User:C_Radial_Polarized_P3.8mm_CNC","~"
"C3,C4","2","1u","","","","User:C_Axial_P5.00mm_CNC","~"
"C5","1","47n","","","","User:C_Axial_P5.00mm_CNC","~"
"D1","1","1N4148","","","","User:D_P7.62mm_CNC","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"J1","1","Screw_Terminal_01x05","","","","User:TerminalBlock_1x5_CNC","~"
"J2","1","Screw_Terminal_01x06","","","","User:TerminalBlock_1x6_CNC","~"
"R1,R7","2","220k","","","","User:R_10.16mm_CNC","~"
"R2,R4,R5,R6","4","100k","","","","User:R_10.16mm_CNC","~"
"R3","1","1k","","","","User:R_10.16mm_CNC","~"
"RV1,RV2","2","100k","","","","User:Potentiometer_Trim_CNC","~"
"RV3","1","10k","","","","User:Potentiometer_Trim_CNC","~"
"U1","1","TL074","","","","User:DIP-14_CNC","http://www.ti.com/lit/ds/symlink/tl071.pdf"
