"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","1n","","","","User:C_Rect_P5.00mm_CNC","~"
"C2","1","10n","","","","User:C_Rect_P5.00mm_CNC","~"
"C3","1","4u7","","","","User:C_Rect_P5.00mm_CNC","~"
"D1","1","1N4148","","","","User:D_P7.62mm_CNC","https://www.diodes.com/assets/Datasheets/ds30396.pdf"
"D2,D3,D4","3","1N4148","","","","User:D_P10.16mm_CNC","https://www.diodes.com/assets/Datasheets/ds30396.pdf"
"J1","1","Screw_Terminal_01x06","","","","User:TerminalBlock_1x6_CNC","~"
"Q1,Q2,Q3,Q4,Q5,Q6","6","BC548","","","","User:TO-92_CNC","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"Q7","1","2N7000","","","","User:TO-92_CNC","https://www.vishay.com/docs/70226/70226.pdf"
"R1","1","220k","","","","User:R_10.16mm_CNC","~"
"R2","1","820","","","","User:R_10.16mm_CNC","~"
"R3","1","1k 1%","","","","User:R_7.62mm_CNC","~"
"R4","1","1k 1%","","","","User:R_2.54mm_CNC","~"
"R5,R7,R8","3","22k","","","","User:R_10.16mm_CNC","~"
"R6,R9,R10","3","10k","","","","User:R_10.16mm_CNC","~"
"R11","1","680k","","","","User:R_7.62mm_CNC","~"
"R12","1","680k","","","","User:R_10.16mm_CNC","~"
"R13,R15,R17","3","47k","","","","User:R_7.62mm_CNC","~"
"R14","1","220k","","","","User:R_7.62mm_CNC","~"
"R16,R23,R24","3","100k","","","","User:R_7.62mm_CNC","~"
"R18","1","1M","","","","User:R_7.62mm_CNC","~"
"R19,R20,R22","3","100","","","","User:R_10.16mm_CNC","~"
"R21","1","47k","","","","User:R_10.16mm_CNC","~"
"RV1","1","1k","","","","User:Potentiometer_Trim_CNC","~"
"RV2","1","100k","","","","User:Potentiometer_Trim_CNC","~"
"RV3,RV4,RV6","3","A1M","","","","User:Potentiometer_PanelMount_CNC","~"
"RV5","1","B100k","","","","User:Potentiometer_PanelMount_CNC","~"
"U1","1","TL074","","","","User:DIP-14_CNC","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"U2","1","NA555P","","","","User:DIP-8_CNC","http://www.ti.com/lit/ds/symlink/ne555.pdf"
