"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","100p","","","","User:C_Axial_P5.00mm_CNC","~"
"C2","1","10n","","","","User:C_Rect_P5.00mm_CNC","~"
"C3","1","20p","","","","User:C_Axial_P5.00mm_CNC","~"
"C4,C5","2","220n","","","","User:C_Axial_P5.00mm_CNC","~"
"C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C20,C21","14","100n","","","","User:C_Axial_P5.00mm_CNC","~"
"C18","1","100p","","","","User:C_Rect_P5.00mm_CNC","~"
"C19","1","47p","","","","User:C_Rect_P5.00mm_CNC","~"
"C22,C23","2","100u","","","","User:C_Radial_Polarized_P2.5mm_CNC","~"
"D1","1","5V1","","","","User:D_P2.54mm_CNC","~"
"D2","1","5V1","","","","User:D_P5.08mm_CNC","~"
"D3,D4","2","1N4148","","","","User:D_P7.62mm_CNC","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"J1","1","Screw_Terminal_01x05","","","","User:TerminalBlock_1x5_CNC","~"
"Q1,Q2,Q4,Q5,Q6,Q7,Q8","7","BC548","","","","User:TO-92_CNC","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"Q3","1","2N7000","","","","User:TO-92_CNC","https://www.vishay.com/docs/70226/70226.pdf"
"R1","1","2M2","","","","User:R_10.16mm_CNC","~"
"R2,R42","2","220k","","","","User:R_10.16mm_CNC","~"
"R3,R46","2","1k 1%","","","","User:R_7.62mm_CNC","~"
"R4","1","220k","","","","User:R_2.54mm_CNC","~"
"R5","1","22k","","","","User:R_2.54mm_CNC","~"
"R6","1","47","","","","User:R_5.08mm_CNC","~"
"R7","1","1M","","","","User:R_10.16mm_CNC","~"
"R8,R9,R25,R45,R47,R48","6","10k","","","","User:R_10.16mm_CNC","~"
"R10,R44,R51","3","22k","","","","User:R_10.16mm_CNC","~"
"R11","1","100k","","","","User:R_7.62mm_CNC","~"
"R12","1","51k","","","","User:R_5.08mm_CNC","~"
"R13,R16,R23","3","100k 1%","","","","User:R_10.16mm_CNC","~"
"R14,R17,R24,R28","4","100k 1%","","","","User:R_2.54mm_CNC","~"
"R15","1","1k","","","","User:R_7.62mm_CNC","~"
"R18,R31","2","100k","","","","User:R_2.54mm_CNC","~"
"R19,R41","2","100k","","","","User:R_2.54mm_CNC_Alt","~"
"R20","1","22k","","","","User:R_7.62mm_CNC","~"
"R21","1","47k","","","","User:R_7.62mm_CNC","~"
"R22,R30","2","47k","","","","User:R_10.16mm_CNC","~"
"R26,R32","2","100k","","","","User:R_10.16mm_CNC","~"
"R27","1","33k","","","","User:R_2.54mm_CNC_Alt","~"
"R29","1","100k 1%","","","","User:R_7.62mm_CNC","~"
"R33,R36","2","2k2","","","","User:R_10.16mm_CNC","~"
"R34,R35","2","1k 1%","","","","User:R_10.16mm_CNC","~"
"R37","1","390","","","","User:R_5.08mm_CNC","~"
"R38","1","18k","","","","User:R_10.16mm_CNC","~"
"R39","1","10k 1%","","","","User:R_10.16mm_CNC","~"
"R40","1","10k 1%","","","","User:R_2.54mm_CNC_Alt","~"
"R43","1","820","","","","User:R_10.16mm_CNC","~"
"R49","1","680k","","","","User:R_10.16mm_CNC","~"
"R50","1","680k","","","","User:R_7.62mm_CNC","~"
"RV1,RV2,RV8,RV16","4","B100k","","","","User:Potentiometer_PanelMount_CNC","~"
"RV3","1","A1M","","","","User:Potentiometer_PanelMount_CNC","~"
"RV4,RV15","2","1k","","","","User:Potentiometer_Trim_CNC","~"
"RV5,RV6,RV9,RV10,RV11,RV13,RV14","7","100k","","","","User:Potentiometer_Trim_CNC","~"
"RV12","1","50k","","","","User:Potentiometer_Trim_CNC","~"
"SW1","1","SW_SPDT","","","","User:SW_Slide_SPDT_H6.00mm_CNC","~"
"SW2","1","SW_1x4","","","","User:SW_Slide_SP4T_H6.00mm_CNC","~"
"U1,U3,U4","3","TL074","","","","User:DIP-14_CNC","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"U2","1","LM7805","","","","User:TO-220_CNC","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
"U5,U6,U7,U8","4","TL072","","","","User:DIP-8_CNC","http://www.ti.com/lit/ds/symlink/tl071.pdf"
