"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4","4","10u","","","","User:C_Axial_P5.00mm_CNC","~"
"J1","1","Screw_Terminal_01x08","","","","User:TerminalBlock_1x8_CNC","~"
"Q1,Q2,Q3,Q4,Q5,Q6","6","BC548","","","","User:TO-92_CNC","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"R1,R15","2","220k","","","","User:R_2.54mm_CNC","~"
"R2","1","820","","","","User:R_2.54mm_CNC","~"
"R3,R20","2","1k 1%","","","","User:R_7.62mm_CNC","~"
"R4,R19","2","1k 1%","","","","User:R_2.54mm_CNC","~"
"R5,R17","2","22k","","","","User:R_10.16mm_CNC","~"
"R6,R18","2","10k","","","","User:R_2.54mm_CNC_Alt","~"
"R7,R13","2","22k","","","","User:R_5.08mm_CNC","~"
"R8,R14","2","22k","","","","User:R_2.54mm_CNC","~"
"R9","1","10k","","","","User:R_10.16mm_CNC","~"
"R10,R22","2","10k","","","","User:R_2.54mm_CNC","~"
"R11,R24","2","680k","","","","User:R_2.54mm_CNC","~"
"R12,R23","2","680k","","","","User:R_5.08mm_CNC","~"
"R16","1","820","","","","User:R_2.54mm_CNC_Alt","~"
"R21","1","10k","","","","User:R_7.62mm_CNC","~"
"R25,R26","2","100k","","","","User:R_10.16mm_CNC","~"
"RV1,RV6","2","1k","","","","User:Potentiometer_Trim_CNC","~"
"RV2,RV5","2","100k","","","","User:Potentiometer_Trim_CNC","~"
"RV3","1","B100k","","","","User:Potentiometer_PanelMount_CNC","~"
"RV4","1","B1M","","","","User:Potentiometer_PanelMount_CNC","~"
"U1","1","TL074","","","","User:DIP-14_CNC","http://www.ti.com/lit/ds/symlink/tl071.pdf"
