"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C12","3","10u","","","","User:C_Rect_P5.00mm_CNC","~"
"C3,C4,C13,C14,C15,C16,C17","7","10u","","","","User:C_Axial_P5.00mm_CNC","~"
"C5","1","100p","","","","User:C_Axial_P5.00mm_CNC","~"
"C6,C18","2","220n","","","","User:C_Axial_P5.00mm_CNC","~"
"C7,C8,C9,C10","4","47n","","","","User:C_Axial_P5.00mm_CNC","~"
"C11","1","220u","","","","Capacitor_THT:CP_Radial_D8.0mm_P3.80mm","~"
"J1","1","Screw_Terminal_01x07","","","","User:TerminalBlock_1x7_CNC","~"
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12","12","BC548","","","","User:TO-92_CNC","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"R1,R2,R3,R19,R27","5","100k","","","","User:R_10.16mm_CNC","~"
"R4","1","2k","","","","User:R_2.54mm_CNC","~"
"R5,R9,R10","3","150","","","","User:R_7.62mm_CNC","~"
"R6","1","47","","","","User:R_5.08mm_CNC","~"
"R7","1","1M","","","","User:R_10.16mm_CNC","~"
"R8","1","10k","","","","User:R_7.62mm_CNC","~"
"R11","1","330","","","","User:R_2.54mm_CNC","~"
"R12","1","470","","","","User:R_2.54mm_CNC_Alt","~"
"R13","1","150","","","","User:R_2.54mm_CNC","~"
"R14","1","330","","","","User:R_7.62mm_CNC","~"
"R15","1","1k","","","","User:R_7.62mm_CNC","~"
"R16","1","220","","","","User:R_10.16mm_CNC","~"
"R17","1","22k","","","","User:R_2.54mm_CNC","~"
"R18","1","10k","","","","User:R_5.08mm_CNC","~"
"R20,R21","2","10k 1%","","","","User:R_10.16mm_CNC","~"
"R22","1","1M 1%","","","","User:R_2.54mm_CNC","~"
"R23","1","1M 1%","","","","User:R_7.62mm_CNC","~"
"R24","1","220k","","","","User:R_10.16mm_CNC","~"
"R25","1","47k","","","","User:R_10.16mm_CNC","~"
"R26","1","10k","","","","User:R_10.16mm_CNC","~"
"R28","1","5.1k","","","","User:R_2.54mm_CNC","~"
"RV1,RV2","2","B100k","","","","User:Potentiometer_PanelMount_CNC","~"
"RV3","1","C100k","","","","User:Potentiometer_PanelMount_CNC","~"
"RV4","1","1k","","","","User:Potentiometer_Trim_CNC","~"
"RV5","1","10k","","","","User:Potentiometer_Trim_CNC","~"
"RV6","1","500k","","","","User:Potentiometer_Trim_CNC","~"
"U1,U3","2","TL074","","","","User:DIP-14_CNC","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"U2","1","LM7805","","","","User:TO-220_CNC","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
"U4","1","TL072","","","","User:DIP-8_CNC","http://www.ti.com/lit/ds/symlink/tl071.pdf"
